prestador	siges_sucursal_id	empresa	sucursal	lat	lon	fuente
SAN JUAN	12342	Gobierno de San Juan	Escuela Jose Hernandez	-31.5731766	-68.5266557	https://www.openstreetmap.org/node/6702072494
SAN JUAN	9068	Gobierno de San Juan	ENI N.º 36 Milo Lockett	-31.5737569	-68.537594	https://www.openstreetmap.org/node/6699677608
SAN JUAN	3765	Gobierno de San Juan	Escuela Carlos Maria de Alvear	-31.5766698	-68.5576148	https://www.openstreetmap.org/way/409055724
SAN JUAN	5262	Gobierno de San Juan	Escuela Maestro Jose J. Berrutti	-31.6193687	-68.5022716	https://www.openstreetmap.org/way/712902302
SAN JUAN	6618	Gobierno de San Juan	CENTRO DE FORMACION PROFESIONAL N.º 1  DE RAWSON	-31.5735485	-68.5354985	https://www.openstreetmap.org/node/13762355882
SAN JUAN	9096	Gobierno de San Juan	ENI N.º 52 Ruth Harft	-31.5634159	-68.5384015	https://sanjuan.geodestinos.ar/cat/educacion/6490-eni-52-ruth-harf
SAN JUAN	9164	Gobierno de San Juan	JINZ N.º 9 Martin Yanzon	-31.7584038	-68.2494789	https://www.openstreetmap.org/way/693842083
SAN JUAN	9153	Gobierno de San Juan	JINZ N.º 43 Policia de la Pcia. San Juan	-31.5501435	-68.5580228	https://www.openstreetmap.org/node/11031709242
SAN JUAN	4956	Gobierno de San Juan	Escuela 20 de Junio	-31.9487338	-68.4745912	https://www.openstreetmap.org/way/694427499
SAN JUAN	14102	Gobierno de San Juan	Escuela Miguel Cane de Bauchaceta	-30.5106549	-69.4600621	https://www.openstreetmap.org/way/686948992
SAN JUAN	14103	Gobierno de San Juan	Escuela Martin Yanzon	-31.7584038	-68.2494789	https://www.openstreetmap.org/way/693842083
SAN JUAN	9146	Gobierno de San Juan	JINZ N.º 37	-31.5258679	-68.6317618	https://www.openstreetmap.org/way/358718639
SAN JUAN	3606	Gobierno de San Juan	Escuela Pcial. Tec. N.º 6 La Bebida	-31.5390693	-68.6296774	https://www.openstreetmap.org/way/1121124332
SAN JUAN	3623	Gobierno de San Juan	Escuela Pcia. de Salta	-31.5284259	-68.5800762	https://www.openstreetmap.org/node/12091971098
SAN JUAN	9119	Gobierno de San Juan	JINZ N.º 1 Juan Eugenio Seru	-31.9031879	-68.4741076	https://www.openstreetmap.org/way/699803025
SAN JUAN	4668	Gobierno de San Juan	ENI N.º 14 Alfonsina Storni	-31.9823348	-68.4272203	https://www.openstreetmap.org/way/699817324
SAN JUAN	4705	Gobierno de San Juan	Escuela Dr. Carlos Doncel	-32.019737	-68.4255129	https://www.openstreetmap.org/way/699562726
SAN JUAN	12446	Gobierno de San Juan	EEE Cristo de la Quebrada	-31.9524385	-68.6512644	https://www.openstreetmap.org/node/6573892895
SAN JUAN	4954	Gobierno de San Juan	EEE Multiple de los Berros	-31.9524385	-68.6512644	https://www.openstreetmap.org/node/6573892895
SAN JUAN	9120	Gobierno de San Juan	JINZ Nro 10 Jose M. del Carril	-32.0599836	-68.4298818	https://www.openstreetmap.org/node/6573893071
SAN JUAN	5264	Gobierno de San Juan	ENI N.º 25	-31.9562734	-68.6594782	https://www.openstreetmap.org/way/700035522
SAN JUAN	3774	Gobierno de San Juan	Escuela Dr. Albert Einstein	-31.9859004	-68.5483109	https://www.openstreetmap.org/way/694427538
SAN JUAN	3788	Gobierno de San Juan	Escuela Falucho	-31.9521885	-68.6509677	https://www.openstreetmap.org/way/694738185
SAN JUAN	4922	Gobierno de San Juan	Escuela Josefa R. de Garcia	-31.996787	-68.764991	https://mapa.educacion.gob.ar/legajo/700008100
SAN JUAN	14317	Gobierno de San Juan	Escuela Sec. Zonda	-31.5448533	-68.7521716	https://www.openstreetmap.org/node/6434024997
SAN JUAN	3480	Gobierno de San Juan	JARDINES DE INFANTES NUCLEADOS ZONAL	-31.5304463	-68.5415852	https://sanjuan.geodestinos.ar/cat/educacion/2420-2420-escuela-luis-jorge-fontana
SAN JUAN	3143	Gobierno de San Juan	Escuela Candelaria A. de Godoy	-31.5657034	-68.5393076	https://www.openstreetmap.org/node/13830044190
SAN JUAN	3760	Gobierno de San Juan	Escuela Gabriela Mistral	-31.5733611	-68.5264242	https://www.openstreetmap.org/way/470086160
SAN JUAN	4875	Gobierno de San Juan	JINZ N.º 52 Alas Argentinas	-31.5719626	-68.5333645	https://www.openstreetmap.org/node/13762364253
SAN JUAN	6615	Gobierno de San Juan	Escuela Barrio Ejercito de los Andes	-31.5838171	-68.5059143	https://www.openstreetmap.org/way/709074960
SAN JUAN	3208	Gobierno de San Juan	Escuela America	-31.6571006	-68.4649926	https://www.openstreetmap.org/way/712195310
SAN JUAN	12288	Gobierno de San Juan	Escuela Sec. Alas Argentinas	-31.5717902	-68.5340532	https://www.openstreetmap.org/node/6699835917
SAN JUAN	3552	Gobierno de San Juan	Escuela Sec. Martin Yanzon	-31.7585388	-68.2492336	https://www.openstreetmap.org/node/6514324715
SAN JUAN	4646	Gobierno de San Juan	Escuela Comodoro Rivadavia	-31.7310795	-68.3452531	https://www.openstreetmap.org/way/693661401
SAN JUAN	12268	Gobierno de San Juan	Escuela Sec. N.º 134	-31.5656815	-68.5392408	https://www.openstreetmap.org/node/6690030555
SAN JUAN	4079	Gobierno de San Juan	Escuela S. J. Eudes	-31.5621517	-68.5621582	https://www.openstreetmap.org/way/713458736
SAN JUAN	3192	Gobierno de San Juan	Escuela Antonio de la Torre	-31.5739261	-68.5372054	https://www.openstreetmap.org/node/13762355881
SAN JUAN	9073	Gobierno de San Juan	ENI N.º 42 El Jardin de Francesco	-31.5880058	-68.5307504	https://sanjuan.geodestinos.ar/cat/educacion/6294-eni-42-el-jardin-de-francesco
SAN JUAN	12261	Gobierno de San Juan	Escuela Cristobal Colon	-31.6202168	-68.4633019	https://www.openstreetmap.org/way/710779350
SAN JUAN	4642	Gobierno de San Juan	ENI N.º 75 Elena Santa Cruz	-31.576378	-68.518597	https://mapa.educacion.gob.ar/legajo/700114000
SAN JUAN	9161	Gobierno de San Juan	JINZ Nro 6 - 17 de Agosto	-30.3220359	-69.2044959	https://www.openstreetmap.org/node/12618485503
SAN JUAN	3625	Gobierno de San Juan	Escuela Jose P. Cortinez	-31.5360289	-68.4380283	https://www.openstreetmap.org/way/705312560
SAN JUAN	3770	Gobierno de San Juan	Escuela Juan XXIII	-31.5634051	-68.5372503	https://www.openstreetmap.org/node/6702072495
SAN JUAN	1463	Molinos Río de la Plata	Santa Lucía	-31.5568206	-68.46798	https://sanjuan.geodestinos.ar/cat/fabricas-e-industrias/4554-4554-molinos-rio-de-la-plata-planta-los-robles
SAN JUAN	1526	Molinos Río de la Plata	Los Robles	-31.5568206	-68.46798	https://sanjuan.geodestinos.ar/cat/fabricas-e-industrias/4554-4554-molinos-rio-de-la-plata-planta-los-robles
SAN JUAN	8225	Pago Facil	C.S. San Juan	-31.5340479	-68.5215637	https://www.openstreetmap.org/node/5873610463
SAN JUAN	5501	Pago Facil	Libertad San Juan	-31.5204106	-68.5408458	https://sanjuan.geodestinos.ar/cat/supermercados-y-mayoristas/1400-1400-super-libertad-sucursal-san-juan
SAN JUAN	3387	Pertenecer SRL	San Juan	-31.5339461	-68.5207133	https://www.openstreetmap.org/node/8972914170
SAN JUAN	1139	Peñaflor	San Martin - San Juan	-31.5574333	-68.3270908	https://www.openstreetmap.org/way/252173430
SAN JUAN	5357	Walmart	1081 - CH+ Rawson SJ	-31.5754534	-68.5434575	https://sanjuan.geodestinos.ar/cat/supermercados-y-mayoristas/1387-1387-changomas-sucursal-rawson
SAN LUIS	7019	Banco Credicoop	239 - San Luis	-33.3062338	-66.3350339	https://www.openstreetmap.org/way/1002049140
SAN LUIS	6074	Banco Santander Río	Universidad Catolica de Cuyo - San Luis	-33.3001581	-66.3196823	https://www.openstreetmap.org/way/543918807
SAN LUIS	6127	Banco Santander Río	Universidad Nacional De San Luis	-33.2915212	-66.3400936	https://www.openstreetmap.org/way/122553922
SAN LUIS	8895	Dos Anclas	Bebedero	-33.5020073	-66.6505653	https://www.openstreetmap.org/way/474266553
SM TUCUMAN	3706	Salta Refrescos (Región Sur)	Concepción	-27.34774861272473	-65.5874087442325	Pin de Gestion con signo de longitud corregido (estaba +65.58); cae sobre calle El Ceibo, Concepcion https://www.openstreetmap.org/way/278942838; direccion El Ceibo 145 Concepcion segun http://www.paginasblancas.com.ar/persona/salta-refrescos-sa
SUPERNOVA	4459	Arcos Dorados (Mc Donalds)	Rosario	-32.9452288	-60.6455187	https://www.openstreetmap.org/way/555340127
SUPERNOVA	4312	Arcos Dorados (Mc Donalds)	CPR - Club Provincial Rosario (192)	-32.9720787	-60.6626128	https://www.openstreetmap.org/way/187353791
SUPERNOVA	4311	Arcos Dorados (Mc Donalds)	CFR - Alto Rosario Shopping (191)	-32.9274979	-60.6683937	https://www.openstreetmap.org/way/542127337
SUPERNOVA	3620	Assist Card	Implant (CABA)	-32.9469634	-60.6368031	https://www.openstreetmap.org/way/301569762
SUPERNOVA	4985	Calico	Rosario 2	-32.9722488	-60.7224242	https://www.openstreetmap.org/way/187349080
SUPERNOVA	4786	Efectivo Si	EFECTIVO SI - San Lorenzo	-32.7504988	-60.7343402	https://www.openstreetmap.org/node/1531220074
SUPERNOVA	4041	Galeno - COLONOS	Sucursal Rosario- Santa Fe  ART	-32.9382736	-60.6426323	https://www.openstreetmap.org/way/301570167
SUPERNOVA	3413	Nutrien	Depòsito Portuario (Ponal Group)	-33.3526721	-60.1989655	https://www.openstreetmap.org/way/624798004
TRELEW	9852	Aerolineas Argentinas	Aeropuerto De Puerto Madryn (PMY)	-42.758652	-65.1018677	https://www.openstreetmap.org/way/333006085
TUCUMAN	4270	Arcos Dorados (Mc Donalds)	PJT - Portal Jumbo Tucuman (135)	-26.8222179	-65.2678971	https://www.openstreetmap.org/way/96019008
TUCUMAN	3674	Galeno	Tucumán 2 (ART) (NO USAR)	-26.8303866	-65.2082929	https://www.openstreetmap.org/way/368039210
TUCUMAN	8669	Molino Cañuelas	Tucumán - Miguel Lilio 365 - SUC CERRADA	-26.832808	-65.2214995	https://www.openstreetmap.org/way/371670017
TUCUMAN	3792	Salta Refrescos (Región Sur)	Lules	-26.8366512	-65.2641132	https://www.openstreetmap.org/way/1017236337
VIEDMA	11184	EDERSA S.A.	GRAL. CONESA	-40.1029435	-64.4553416	https://www.openstreetmap.org/way/297417994 (Almirante Brown 560, General Conesa)
