prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
SAN JUAN	pin	12231	Gobierno de San Juan	JINZ N.º 44	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.701	República del Líbano, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	3428	Gobierno de San Juan	Municipalidad de Rawson	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.473	Villa Sarmiento, Rawson, San Juan, Argentina
SAN JUAN	pin	4875	Gobierno de San Juan	JINZ N.º 52 Alas Argentinas	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.445	Fermin Rodríguez Oeste, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	9068	Gobierno de San Juan	ENI N.º 36 Milo Lockett	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.417	Avenida España Sur & José Martí Oeste, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	3192	Gobierno de San Juan	Escuela Antonio de la Torre	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.417	Avenida España Sur & José Martí Oeste, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	12448	Gobierno de San Juan	ENI N.º 34 Magdalena Guemes	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.055	Aguilar Oeste & Neuquén Sur, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	9066	Gobierno de San Juan	Escuela Niñas de Ayohuma	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.055	Aguilar Oeste & Neuquén Sur, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	6615	Gobierno de San Juan	Escuela Barrio Ejercito de los Andes	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1337.838	Balmaceda, J5425, San Juan, Argentina
SAN JUAN	pin	3765	Gobierno de San Juan	Escuela Carlos Maria de Alvear	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1337.659	José María Paz Oeste & Magallanes, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	9073	Gobierno de San Juan	ENI N.º 42 El Jardin de Francesco	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1337.548	Quiroz Oeste, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	3293	Gobierno de San Juan	Escuela 14 de Febrero	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1337.199	Valle Fértil Sur & Chacabuco Este, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	8367	Gobierno de San Juan	Escuela Sec. Barrio Valle Grande	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1336.669	Proyectada, San Juan, Argentina
SAN JUAN	pin	1139	Peñaflor	San Martin - San Juan	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1335.193	Rawson, Villa Dominguito, San Juan, Argentina
SAN JUAN	pin	5262	Gobierno de San Juan	Escuela Maestro Jose J. Berrutti	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1333.371	Labrador 6, San Juan, Argentina
SAN JUAN	pin	12261	Gobierno de San Juan	Escuela Cristobal Colon	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1332.298	C. 5, San Juan, Argentina
